#,P:win,P:lose,P:coffee,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2.1,0.2,0.6,25673.80,38093.24,17.52,187.40,137,-23600.00,1.21,0.0022,1.61,0.4633,291.17,5,-12079.24,3.15,0.05,0.23,0.0040,6.02,117640.00,-91966.20,24,113,3,14,12920.00,-1560.00,4901.67,-813.86,119,26,1.28
2,1.3,0.2,0.6,25533.80,37885.52,22.63,186.38,137,-9830.00,1.66,0.0037,3.85,0.8513,3063.12,5,-8968.00,4.22,0.05,0.10,0.0058,4.44,110750.00,-85216.20,31,106,3,10,4890.00,-1550.00,3572.58,-803.93,72,24,1.30
3,1.2,0.2,0.6,24513.80,36372.10,23.36,178.93,137,-9860.00,1.62,0.0035,3.69,0.8320,2856.43,5,-8414.00,4.32,0.05,0.10,0.0057,4.24,108370.00,-83856.20,32,105,3,10,4890.00,-1550.00,3386.56,-798.63,68,24,1.29
4,2.5,0.2,0.6,23963.80,35556.04,17.52,174.92,137,-24380.00,1.07,0.0025,1.46,0.4794,263.56,5,-12541.24,2.84,0.05,0.24,0.0036,5.94,115930.00,-91966.20,24,113,3,14,12920.00,-1560.00,4830.42,-813.86,130,26,1.26
5,2.4,0.2,0.6,23583.80,34992.22,17.52,172.14,137,-24380.00,1.04,0.0024,1.44,0.4777,258.45,5,-12541.24,2.79,0.05,0.24,0.0036,5.92,115550.00,-91966.20,24,113,3,14,12920.00,-1560.00,4814.58,-813.86,129,26,1.26
6,2.3,0.2,0.6,23253.80,34502.59,17.52,169.74,137,-24380.00,1.01,0.0024,1.42,0.4762,254.02,5,-12541.24,2.75,0.05,0.24,0.0035,5.90,115220.00,-91966.20,24,113,3,14,12920.00,-1560.00,4800.83,-813.86,129,26,1.25
7,2.2,0.2,0.6,23053.80,34205.84,17.52,168.28,137,-24380.00,0.99,0.0022,1.40,0.4385,231.90,5,-12235.24,2.80,0.05,0.24,0.0035,5.89,115020.00,-91966.20,24,113,3,14,12920.00,-1560.00,4792.50,-813.86,123,26,1.25
8,1.6,0.2,1,22833.00,33878.23,27.50,570.82,40,-9480.00,3.12,0.0032,3.57,0.7800,2477.64,5,-6204.00,5.46,0.05,0.09,0.0077,4.88,49683.00,-26850.00,11,29,3,7,7603.00,-1810.00,4516.64,-925.86,72,11,1.85
9,2,0.2,0.6,22043.80,32707.26,17.52,160.90,137,-22550.00,0.92,0.0018,1.45,0.3999,236.23,5,-11869.24,2.76,0.05,0.22,0.0034,5.84,114010.00,-91966.20,24,113,3,14,12920.00,-1560.00,4750.42,-813.86,115,26,1.24
10,1.3,0.4,1,21233.00,31504.25,36.84,558.76,38,-11600.00,2.23,0.0024,2.72,0.7824,1536.55,5,-7164.00,4.40,0.05,0.12,0.0066,2.82,54193.00,-32960.00,14,24,3,7,7603.00,-1910.00,3870.93,-1373.33,75,20,1.64
11,1.5,0.2,1,21063.00,31252.01,27.50,526.57,40,-9480.00,2.75,0.0030,3.30,0.7642,2239.07,5,-6204.00,5.04,0.05,0.09,0.0072,4.70,47913.00,-26850.00,11,29,3,7,7603.00,-1810.00,4355.73,-925.86,68,11,1.78
12,1.4,0.4,1,20933.00,31059.13,36.84,550.87,38,-11600.00,2.18,0.0027,2.68,0.7704,1491.67,5,-7164.00,4.34,0.05,0.12,0.0064,2.80,53893.00,-32960.00,14,24,3,7,7603.00,-1910.00,3849.50,-1373.33,82,20,1.64
13,1.4,0.2,1,20253.00,30050.18,27.50,506.32,40,-9480.00,2.59,0.0029,3.17,0.7569,2132.41,5,-5878.00,5.11,0.05,0.09,0.0070,4.62,47103.00,-26850.00,11,29,3,7,7603.00,-1810.00,4282.09,-925.86,67,11,1.75
14,1.3,0.5,1,19943.00,29590.22,39.47,524.82,38,-12810.00,1.70,0.0024,2.31,0.8001,1210.04,5,-8126.00,3.64,0.05,0.13,0.0061,2.36,57083.00,-37140.00,15,23,3,7,7603.00,-2210.00,3805.53,-1614.78,76,23,1.54
15,1.9,0.2,0.6,19433.80,28834.70,17.52,141.85,137,-22850.00,0.73,0.0015,1.26,0.3542,179.61,5,-11929.24,2.42,0.05,0.23,0.0029,5.70,111400.00,-91966.20,24,113,3,14,12920.00,-1560.00,4641.67,-813.86,113,26,1.21
16,1.2,0.4,1,19283.00,28610.96,36.84,507.45,38,-11600.00,1.91,0.0022,2.47,0.7671,1368.02,5,-7164.00,3.99,0.05,0.12,0.0062,2.72,52243.00,-32960.00,14,24,3,7,7603.00,-1910.00,3731.64,-1373.33,67,20,1.59
17,1.4,0.5,1,18793.00,27883.92,39.47,494.55,38,-12810.00,1.54,0.0025,2.18,0.7947,1132.63,5,-8126.00,3.43,0.05,0.13,0.0057,2.31,55933.00,-37140.00,15,23,3,7,7603.00,-2210.00,3728.87,-1614.78,82,23,1.51
18,1.6,0.3,1,18783.00,27869.09,28.95,494.29,38,-14390.00,1.73,0.0025,1.94,0.7482,844.69,5,-7622.00,3.66,0.04,0.14,0.0060,3.91,50433.00,-31650.00,11,27,3,8,7603.00,-1840.00,4584.82,-1172.22,71,18,1.59
19,1.2,0.5,1,18243.00,27067.87,39.47,480.08,38,-12810.00,1.47,0.0023,2.11,0.7874,1089.19,5,-7182.00,3.77,0.05,0.13,0.0057,2.29,55383.00,-37140.00,15,23,3,7,7603.00,-2210.00,3692.20,-1614.78,69,23,1.49
20,1.2,0.5,0.8,17730.00,26306.71,36.76,260.74,68,-14360.00,0.90,0.0009,1.83,0.3328,373.67,5,-7476.00,3.52,0.07,0.14,0.0045,2.18,83540.00,-65810.00,25,43,3,7,9460.00,-2720.00,3341.60,-1530.47,64,40,1.27
21,1.4,0.5,0.8,17640.00,26173.17,35.29,259.41,68,-16040.00,0.84,0.0007,1.63,0.1816,162.63,5,-6950.00,3.77,0.07,0.16,0.0040,2.31,85110.00,-67470.00,24,44,3,7,9460.00,-2720.00,3546.25,-1533.41,76,40,1.26
22,1.6,0.2,0.9,17616.30,26138.01,24.53,332.38,53,-12740.00,1.63,0.0021,2.05,0.6315,879.94,5,-6964.00,3.75,0.05,0.13,0.0055,4.61,52960.00,-35343.70,13,40,2,13,5870.00,-1550.00,4073.85,-883.59,75,17,1.50
23,1.3,0.2,1,17383.00,25791.85,27.50,434.57,40,-9480.00,2.03,0.0025,2.72,0.7524,1819.18,5,-5878.00,4.39,0.05,0.09,0.0060,4.34,44233.00,-26850.00,11,29,3,7,7603.00,-1810.00,4021.18,-925.86,64,11,1.65
24,1.8,0.2,0.6,17123.80,25407.26,17.52,124.99,137,-23000.00,0.58,0.0013,1.10,0.2973,131.10,5,-11959.24,2.12,0.05,0.23,0.0025,5.59,109090.00,-91966.20,24,113,3,14,12920.00,-1560.00,4545.42,-813.86,111,26,1.19
25,1.6,0.4,1,16993.00,25213.19,34.21,447.18,38,-14120.00,1.29,0.0019,1.79,0.5490,583.33,5,-8134.00,3.10,0.07,0.14,0.0048,2.83,53013.00,-36020.00,13,25,3,9,7603.00,-3060.00,4077.92,-1440.80,87,22,1.47
26,1.5,0.2,0.9,16836.30,24980.69,24.53,317.67,53,-13190.00,1.51,0.0020,1.89,0.6154,764.60,5,-7054.00,3.54,0.05,0.13,0.0053,4.54,52180.00,-35343.70,13,40,2,13,5870.00,-1550.00,4013.85,-883.59,71,17,1.48
27,1.5,0.3,1,16793.00,24916.44,28.95,441.92,38,-14390.00,1.44,0.0023,1.73,0.7317,738.55,5,-6736.00,3.70,0.04,0.14,0.0054,3.76,48443.00,-31650.00,11,27,3,8,7603.00,-1840.00,4403.91,-1172.22,68,18,1.53
28,1.7,0.3,1,16603.00,24634.53,28.95,436.92,38,-14390.00,1.41,0.0024,1.71,0.6454,644.20,5,-7554.00,3.26,0.04,0.14,0.0050,3.74,48253.00,-31650.00,11,27,3,8,7603.00,-1840.00,4386.64,-1172.22,87,18,1.52
29,1.5,0.2,0.7,16500.70,24482.75,23.81,157.15,105,-19289.30,0.93,0.0008,1.27,0.1877,111.73,5,-7187.86,3.41,0.05,0.19,0.0036,3.99,83200.00,-66699.30,25,80,3,20,6100.00,-1550.00,3328.00,-833.74,88,23,1.25
30,1.4,0.2,0.7,16360.70,24275.02,23.81,155.82,105,-19839.30,0.92,0.0008,1.22,0.1844,102.94,5,-6963.86,3.49,0.05,0.20,0.0036,3.98,83060.00,-66699.30,25,80,3,20,6100.00,-1550.00,3322.40,-833.74,82,23,1.25
31,2.5,0.2,0.7,16240.70,24096.97,22.86,154.67,105,-18789.30,0.86,0.0012,1.28,0.2587,159.87,5,-10521.86,2.29,0.05,0.19,0.0029,4.19,83850.00,-67609.30,24,81,3,20,9090.00,-1550.00,3493.75,-834.68,129,23,1.24
32,1.2,0.2,1,15853.00,23521.73,27.50,396.32,40,-9480.00,1.75,0.0023,2.48,0.7342,1619.02,5,-5548.00,4.24,0.05,0.09,0.0056,4.19,42703.00,-26850.00,11,29,3,7,7603.00,-1810.00,3882.09,-925.86,55,11,1.59
33,1.3,0.2,0.7,15840.70,23503.48,23.81,150.86,105,-18789.30,0.87,0.0008,1.25,0.2241,135.02,5,-6753.86,3.48,0.05,0.19,0.0036,3.96,82540.00,-66699.30,25,80,3,20,6100.00,-1550.00,3301.60,-833.74,76,23,1.24
34,1.9,0.4,1,15813.00,23462.38,34.21,416.13,38,-17800.00,1.15,0.0020,1.32,0.4950,308.05,5,-8870.00,2.65,0.07,0.18,0.0041,2.77,51833.00,-36020.00,13,25,3,9,7603.00,-3060.00,3987.15,-1440.80,114,22,1.44
35,1.3,0.5,0.8,15540.00,23057.32,35.29,228.53,68,-16830.00,0.67,0.0004,1.37,0.0599,42.95,5,-7108.00,3.24,0.07,0.17,0.0037,2.26,83010.00,-67470.00,24,44,3,7,9460.00,-2720.00,3458.75,-1533.41,69,40,1.23
36,1.6,0.5,0.8,15240.00,22612.20,33.82,224.12,68,-15280.00,0.63,0.0006,1.48,0.1735,147.98,5,-9514.00,2.38,0.07,0.15,0.0032,2.40,82820.00,-67580.00,23,45,3,7,9460.00,-2720.00,3600.87,-1501.78,83,44,1.23
